date_actual,CIT_Net,player
2014-12-23 00:00:00,39814,Index
2014-12-23 00:00:00,18021,Ncom
2014-12-23 00:00:00,169,Nrep
2014-12-30 00:00:00,-54229,Com
2014-12-30 00:00:00,40041,Index
2014-12-30 00:00:00,13720,Ncom
2014-12-30 00:00:00,469,Nrep
2015-01-06 00:00:00,-56055,Com
2015-01-06 00:00:00,39940,Index
2015-01-06 00:00:00,15287,Ncom
2015-01-06 00:00:00,829,Nrep
2015-01-13 00:00:00,-52738,Com
2015-01-13 00:00:00,28017,Index
2015-01-13 00:00:00,24117,Ncom
2015-01-13 00:00:00,605,Nrep
2015-01-20 00:00:00,-47295,Com
2015-01-20 00:00:00,25718,Index
2015-01-20 00:00:00,20196,Ncom
2015-01-20 00:00:00,1380,Nrep
2015-01-27 00:00:00,-41317,Com
2015-01-27 00:00:00,26026,Index
2015-01-27 00:00:00,13632,Ncom
2015-01-27 00:00:00,1659,Nrep
2015-02-03 00:00:00,-36494,Com
2015-02-03 00:00:00,25781,Index
2015-02-03 00:00:00,10185,Ncom
2015-02-03 00:00:00,528,Nrep
2015-02-10 00:00:00,-40850,Com
2015-02-10 00:00:00,28320,Index
2015-02-10 00:00:00,10675,Ncom
2015-02-10 00:00:00,1855,Nrep
2015-02-17 00:00:00,-35558,Com
2015-02-17 00:00:00,25548,Index
2015-02-17 00:00:00,8847,Ncom
2015-02-17 00:00:00,1162,Nrep
2015-02-24 00:00:00,-26787,Com
2015-02-24 00:00:00,25290,Index
2015-02-24 00:00:00,1139,Ncom
2015-02-24 00:00:00,358,Nrep
2015-03-03 00:00:00,-17420,Com
2015-03-03 00:00:00,22830,Index
2015-03-03 00:00:00,-6710,Ncom
2015-03-03 00:00:00,1302,Nrep
2015-03-10 00:00:00,-14796,Com
2015-03-10 00:00:00,23003,Index
2015-03-10 00:00:00,-9316,Ncom
2015-03-10 00:00:00,1109,Nrep
2015-03-17 00:00:00,-13105,Com
2015-03-17 00:00:00,22473,Index
2015-03-17 00:00:00,-10605,Ncom
2015-03-17 00:00:00,1238,Nrep
2015-03-24 00:00:00,-12581,Com
2015-03-24 00:00:00,24799,Index
2015-03-24 00:00:00,-13366,Ncom
2015-03-24 00:00:00,1150,Nrep
2015-03-31 00:00:00,-12287,Com
2015-03-31 00:00:00,25224,Index
2015-03-31 00:00:00,-14275,Ncom
2015-03-31 00:00:00,1339,Nrep
2015-04-07 00:00:00,-18309,Com
2015-04-07 00:00:00,25412,Index
