date_actual,CIT_Short,player
2014-04-29 00:00:00,-3540,Nrep
2014-05-06 00:00:00,-138770,Com
2014-05-06 00:00:00,-6292,Index
2014-05-06 00:00:00,-7237,Ncom
2014-05-06 00:00:00,-3689,Nrep
2014-05-13 00:00:00,-137361,Com
2014-05-13 00:00:00,-6541,Index
2014-05-13 00:00:00,-8319,Ncom
2014-05-13 00:00:00,-4180,Nrep
2014-05-20 00:00:00,-138717,Com
2014-05-20 00:00:00,-6470,Index
2014-05-20 00:00:00,-8461,Ncom
2014-05-20 00:00:00,-4245,Nrep
2014-05-27 00:00:00,-137586,Com
2014-05-27 00:00:00,-6377,Index
2014-05-27 00:00:00,-10104,Ncom
2014-05-27 00:00:00,-4674,Nrep
2014-06-03 00:00:00,-135203,Com
2014-06-03 00:00:00,-6814,Index
2014-06-03 00:00:00,-10839,Ncom
2014-06-03 00:00:00,-4892,Nrep
2014-06-10 00:00:00,-138503,Com
2014-06-10 00:00:00,-7735,Index
2014-06-10 00:00:00,-11067,Ncom
2014-06-10 00:00:00,-5799,Nrep
2014-06-17 00:00:00,-132402,Com
2014-06-17 00:00:00,-6491,Index
2014-06-17 00:00:00,-10647,Ncom
2014-06-17 00:00:00,-5521,Nrep
2014-06-24 00:00:00,-129514,Com
2014-06-24 00:00:00,-6117,Index
2014-06-24 00:00:00,-9842,Ncom
2014-06-24 00:00:00,-4099,Nrep
2014-07-01 00:00:00,-130560,Com
2014-07-01 00:00:00,-6967,Index
2014-07-01 00:00:00,-10653,Ncom
2014-07-01 00:00:00,-3283,Nrep
2014-07-08 00:00:00,-128747,Com
2014-07-08 00:00:00,-7058,Index
2014-07-08 00:00:00,-10336,Ncom
2014-07-08 00:00:00,-4185,Nrep
2014-07-15 00:00:00,-127897,Com
2014-07-15 00:00:00,-6526,Index
2014-07-15 00:00:00,-13574,Ncom
2014-07-15 00:00:00,-4585,Nrep
2014-07-22 00:00:00,-128328,Com
2014-07-22 00:00:00,-6409,Index
2014-07-22 00:00:00,-12747,Ncom
2014-07-22 00:00:00,-5260,Nrep
2014-07-29 00:00:00,-132013,Com
2014-07-29 00:00:00,-6755,Index
2014-07-29 00:00:00,-10238,Ncom
2014-07-29 00:00:00,-6255,Nrep
2014-08-05 00:00:00,-135521,Com
2014-08-05 00:00:00,-6447,Index
2014-08-05 00:00:00,-8410,Ncom
2014-08-05 00:00:00,-5030,Nrep
2014-08-12 00:00:00,-128900,Com
2014-08-12 00:00:00,-6216,Index
2014-08-12 00:00:00,-9491,Ncom
2014-08-12 00:00:00,-4445,Nrep
2014-08-19 00:00:00,-129979,Com
2014-08-19 00:00:00,-5379,Index
2014-08-19 00:00:00,-9417,Ncom
2014-08-19 00:00:00,-5073,Nrep
2014-08-26 00:00:00,-126222,Com
2014-08-26 00:00:00,-5220,Index
2014-08-26 00:00:00,-9694,Ncom
2014-08-26 00:00:00,-4430,Nrep
2014-09-02 00:00:00,-129418,Com
2014-09-02 00:00:00,-5023,Index
2014-09-02 00:00:00,-9445,Ncom
2014-09-02 00:00:00,-4476,Nrep
2014-09-09 00:00:00,-131355,Com
2014-09-09 00:00:00,-5007,Index
2014-09-09 00:00:00,-11655,Ncom
2014-09-09 00:00:00,-4129,Nrep
2014-09-16 00:00:00,-129084,Com
2014-09-16 00:00:00,-4236,Index
2014-09-16 00:00:00,-12498,Ncom
2014-09-16 00:00:00,-3475,Nrep
2014-09-23 00:00:00,-125737,Com
2014-09-23 00:00:00,-3957,Index
2014-09-23 00:00:00,-13503,Ncom
2014-09-23 00:00:00,-4756,Nrep
2014-09-30 00:00:00,-130794,Com
2014-09-30 00:00:00,-4790,Index
2014-09-30 00:00:00,-11346,Ncom
2014-09-30 00:00:00,-4708,Nrep
2014-10-07 00:00:00,-141949,Com
2014-10-07 00:00:00,-5788,Index
2014-10-07 00:00:00,-9650,Ncom
2014-10-07 00:00:00,-4963,Nrep
2014-10-14 00:00:00,-146458,Com
2014-10-14 00:00:00,-6669,Index
2014-10-14 00:00:00,-7889,Ncom
2014-10-14 00:00:00,-5025,Nrep
2014-10-21 00:00:00,-149185,Com
2014-10-21 00:00:00,-5698,Index
2014-10-21 00:00:00,-6604,Ncom
2014-10-21 00:00:00,-4446,Nrep
2014-10-28 00:00:00,-145400,Com
2014-10-28 00:00:00,-6142,Index
2014-10-28 00:00:00,-7329,Ncom
2014-10-28 00:00:00,-3305,Nrep
2014-11-04 00:00:00,-138246,Com
2014-11-04 00:00:00,-6299,Index
2014-11-04 00:00:00,-8340,Ncom
2014-11-04 00:00:00,-5489,Nrep
2014-11-11 00:00:00,-135246,Com
2014-11-11 00:00:00,-6571,Index
2014-11-11 00:00:00,-8352,Ncom
2014-11-11 00:00:00,-6502,Nrep
2014-11-18 00:00:00,-129197,Com
2014-11-18 00:00:00,-5130,Index
2014-11-18 00:00:00,-7591,Ncom
2014-11-18 00:00:00,-5287,Nrep
2014-11-25 00:00:00,-130897,Com
2014-11-25 00:00:00,-5174,Index
2014-11-25 00:00:00,-6137,Ncom
